accession,entry_name,ENSG,ICD_Code,ICD_Title,Score,ot_genetics_portal,gene_burden,clingen,gene2phenotype,orphanet,genomics_england,uniprot_literature,uniprot_variants,sysbio,cancer_gene_census,cancer_biomarkers,intogen,eva,eva_somatic,chembl,slapenrich,crispr,crispr_screen,reactome,europepmc,expression_atlas,impc
P08908,5ht1a_human,ENSG00000178394,1E51.1,Chronic hepatitis C,0.009239496367117545,,,,,,,,,,,,,,,,,,,,0.07599134970145263,,
P08908,5ht1a_human,ENSG00000178394,1G40,Sepsis without septic shock,0.006652437384324632,,,,,,,,,,,,,,,,,,,,0.0547137717850459,,
P08908,5ht1a_human,ENSG00000178394,1H0Z,"Infection, unspecified",0.002843711659657289,,,,,,,,,,,,,,,,,,,,0.023388448741447087,,
P08908,5ht1a_human,ENSG00000178394,2A00.00,Glioblastoma of brain,0.25110662108722975,,,,,,,,,,,,,,,,0.8230629947797058,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,2A0Z,Other and unspecified neoplasms of brain or central nervous system,0.040979014287439726,,,,,,,,,,,,,,,,,,,,,0.33703683419588265,
P08908,5ht1a_human,ENSG00000178394,2A21.Z,"Mastocytosis, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,2A60.3Z,"Acute myeloid leukaemia, unspecified",0.014783194187388075,,,,,,,,,,,,,,,,,,,,0.12158615952232422,,
P08908,5ht1a_human,ENSG00000178394,2A82.00,Chronic lymphocytic leukaemia of B-cell type,0.0051741179655858255,,,,,,,,,,,,,,,,,,,,0.04255515583281348,,
P08908,5ht1a_human,ENSG00000178394,2A85.5,Mantle cell lymphoma,0.0051741179655858255,,,,,,,,,,,,,,,,,,,,0.04255515583281348,,
P08908,5ht1a_human,ENSG00000178394,2B70.Z,"Malignant neoplasms of oesophagus, unspecified",0.154979163804496,,,,,,,,,,,,,,,,0.5098579128195608,,,,,,
P08908,5ht1a_human,ENSG00000178394,2B91.Z,"Malignant neoplasms of rectosigmoid junction, unspecified",0.13083126855838442,,,,,,,,,,,,,,,0.42555155832813474,,,,,0.024317231904464845,,
P08908,5ht1a_human,ENSG00000178394,2C12.02,Hepatocellular carcinoma of liver,0.0036957985468470188,,,,,,,,,,,,,,,,,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,2C25.1,Small cell carcinoma of bronchus or lung,0.0042501683288740716,,,,,,,,,,,,,,,,,,,,0.03495602086266821,,
P08908,5ht1a_human,ENSG00000178394,2C30.Z,"Melanoma of skin, unspecified",0.10472842187889764,,,,,,,,,,,,,,,,0.6769225905952523,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,2C6Y,Other specified malignant neoplasms of breast,0.021724130180898284,,,,,,,,,,,,,,,,,,,,0.10334823559397559,0.15283566393645637,
P08908,5ht1a_human,ENSG00000178394,2C73.Z,"Malignant neoplasms of ovary, unspecified",0.2515196233270887,,,,,,,,,,,,,,,,0.8274613634158176,,,,,,
P08908,5ht1a_human,ENSG00000178394,2C76.Z,"Malignant neoplasms of corpus uteri, unspecified",0.16415816789259496,,,,,,,,,,,,,,,,0.5400554422889036,,,,,,
P08908,5ht1a_human,ENSG00000178394,2C82.0,Adenocarcinoma of prostate,0.09856289609561261,,,,,,,,,,,,,,,,0.32425695978172797,,,,,,
P08908,5ht1a_human,ENSG00000178394,2D11.2,Neuroblastoma of adrenal gland,0.012511509116428128,,,,,,,,,,,,,,,,,,,,0.10290241229414696,,
P08908,5ht1a_human,ENSG00000178394,2D4Z,Unspecified malignant neoplasms of unspecified sites,0.013839124621595507,,,,,,,,,,,,,,,,,,,,0.1138215457743324,,
P08908,5ht1a_human,ENSG00000178394,2F9Z,Neoplasms of unknown behaviour of unspecified site,0.013909284714138475,,,,,,,,,,,,,,,,,,,,0.11439858589813107,,
P08908,5ht1a_human,ENSG00000178394,4A40.0Z,"Systemic lupus erythematosus, unspecified",0.0014783194187388072,,,,,,,,,,,,,,,,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,4A42.Z,"Systemic sclerosis, unspecified",0.021702550355651655,,,,,,,,,,,,,,,0.030396539880581056,,,,,0.10605015025002724,,
P08908,5ht1a_human,ENSG00000178394,5A10,Type 1 diabetes mellitus,0.050570843449356695,,,,,,,,,,,,,,,,,,,,0.41592598736595077,,
P08908,5ht1a_human,ENSG00000178394,5A11,Type 2 diabetes mellitus,0.017370253170180983,,,,,,,,,,,,,,,,,,,,0.14286373743873093,,
P08908,5ht1a_human,ENSG00000178394,5A14,"Diabetes mellitus, type unspecified",0.015106050684140098,,,,,,,,,,,,,,,,,,,,0.12424153163063353,,
P08908,5ht1a_human,ENSG00000178394,5A41,Hypoglycaemia without associated diabetes,0.0044349582562164215,,,,,,,,,,,,,,,,,,,,0.03647584785669726,,
P08908,5ht1a_human,ENSG00000178394,5A60.1,Hyperprolactinaemia,0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,5A80.1,Polycystic ovary syndrome,0.005543697820270528,,,,,,,,,,,,,,,,,,,,0.045594809820871586,,
P08908,5ht1a_human,ENSG00000178394,5B10,Carcinoid syndrome,0.002771848910135263,,,,,,,,,,,,,,,,,,,,0.02279740491043579,,
P08908,5ht1a_human,ENSG00000178394,5B7Z,Unspecified undernutrition,0.0022174791281082107,,,,,,,,,,,,,,,,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,5B81.Z,"Obesity, unspecified",0.3695798546847018,,,,,,,,,,,,,,,0.607930797611621,,,,,,,
P08908,5ht1a_human,ENSG00000178394,5C72,Hypo-osmolality or hyponatraemia,0.0036957985468470188,,,,,,,,,,,,,,,,,,,,0.030396539880581056,,
P08908,5ht1a_human,ENSG00000178394,6A00.Z,"Disorders of intellectual development, unspecified",0.0025870589827929123,,,,,,,,,,,,,,,,,,,,0.021277577916406734,,
P08908,5ht1a_human,ENSG00000178394,6A02.0,Autism spectrum disorder without disorder of intellectual development and with mild or no impairment of functional language,0.10125461407653369,,,,,,,,,,,,,,,0.1654922726831635,,,,,0.021277577916406734,,
P08908,5ht1a_human,ENSG00000178394,6A02.Z,"Autism spectrum disorder, unspecified",0.45059777640508597,,,,,,,,,,,,,,,0.740895161500753,,,,,0.01823792392834863,,
P08908,5ht1a_human,ENSG00000178394,6A05.Z,"Attention deficit hyperactivity disorder, presentation unspecified",0.5030284527251175,,,,,,,,,,,,,,,0.7858856516458228,,,,,0.28570645260411254,,0.7041784859243259
P08908,5ht1a_human,ENSG00000178394,6A20.Z,"Schizophrenia, episode unspecified",0.6218855146967327,,,,,,,,,,,,,,,0.9962934165553867,,,,,0.5332206684933924,,
P08908,5ht1a_human,ENSG00000178394,6A21.Z,"Schizoaffective disorder, unspecified",0.5902019319633135,,,,,,,,,,,,,,,0.9702294314186818,,,,,0.012158615952232422,,
P08908,5ht1a_human,ENSG00000178394,6A2Z,"Schizophrenia or other primary psychotic disorders, unspecified",0.5655773078959161,,,,,,,,,,,,,,,0.9253185107971446,,,,,0.10026429304730354,,
P08908,5ht1a_human,ENSG00000178394,6A60.Z,"Bipolar type I disorder, unspecified",0.5912736878193929,,,,,,,,,,,,,,,0.9683920720855255,,,,,0.08416494264544104,,
