,Drug Name,Drug Class,LigandType,ModeOfAction,DrugAliases,TargetCategory,Gene,EntryName,Uniprot,Class,Target class,Subfamily,Target_novelty,INDEX,Trial name,Indication(s),Phase,PhaseDate,ClinicalStatus,Status,Approval,Note
0,adenosine,small molecule,Nucleotide ,agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2267,"adenogesic, adenosine (intravenous)",Analgesics,4,,-,approved,1989,
1,bg-9928,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,345,bg-9928,congestive heart failure,2,2008,Terminated,in trial,-,
2,caffeine,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,NRDD072,-,Central Nervous System Stimulants,4,,-,approved,1999,
3,ctp-499,small molecule,Nucleotide ,not available,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,2268,ctp-499,diabetic nephropathy,2,2011,Completed,in trial,-,
4,cvt-3619,small molecule,Nucleotide ,partial agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,568,cvt-3619,Antihyperlipidemic,1,2010,Completed,in trial,-,
5,fk352b,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,799,fk352b,Antihypertensive,2,2005,discontinued,in trial,-,
6,ino-8875,small molecule,Nucleotide ,agonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,985,ino-8875,Antiglaucomic,3,2015,Completed,in trial,-,
7,pbf-680,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAmar2016_0115,pbf-680,Anti-Asthmatic,2,2015,recruiting,in trial,-,
8,pbf-999,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,MMAapril2016_0022,pbf-999,Huntington's disease,1,2016,Terminated,in trial,-,Terminated due to change in therapeutic indication
9,rolofylline,small molecule,Nucleotide ,antagonist,,primary,ADORA1,aa1r_human,P30542,Class A (Rhodopsin),GPCR;Rhodopsin,Adenosine receptors,established,1780,"rolofylline, mk-7418, kw-3902",congestive heart failure,3,2007,discontinued,in trial,-,
