,Unnamed: 0,actual_cost,date,drugClass,drugCode,drugName,drugNameQuery,items,quantity,section
0,0,2279287.13,2012-06-01,small molecule,0704020N0,Tolterodine,tolterodine,91118.0,3236072.0,7.4: Drugs For Genito-Urinary Disorders
1,1,2356777.48,2012-07-01,small molecule,0704020N0,Tolterodine,tolterodine,94761.0,3335562.0,7.4: Drugs For Genito-Urinary Disorders
2,2,2407033.22,2012-08-01,small molecule,0704020N0,Tolterodine,tolterodine,97084.0,3408649.0,7.4: Drugs For Genito-Urinary Disorders
3,3,2248402.44,2012-09-01,small molecule,0704020N0,Tolterodine,tolterodine,90774.0,3191577.0,7.4: Drugs For Genito-Urinary Disorders
4,4,2398604.51,2012-10-01,small molecule,0704020N0,Tolterodine,tolterodine,96383.0,3403831.0,7.4: Drugs For Genito-Urinary Disorders
5,5,2367407.91,2012-11-01,small molecule,0704020N0,Tolterodine,tolterodine,95391.0,3363952.0,7.4: Drugs For Genito-Urinary Disorders
6,6,2339772.66,2012-12-01,small molecule,0704020N0,Tolterodine,tolterodine,94216.0,3322984.0,7.4: Drugs For Genito-Urinary Disorders
7,7,1840022.57,2013-01-01,small molecule,0704020N0,Tolterodine,tolterodine,94631.0,3348756.0,7.4: Drugs For Genito-Urinary Disorders
8,8,1650064.05,2013-02-01,small molecule,0704020N0,Tolterodine,tolterodine,85780.0,3021463.0,7.4: Drugs For Genito-Urinary Disorders
9,9,1776795.7,2013-03-01,small molecule,0704020N0,Tolterodine,tolterodine,92274.0,3270286.0,7.4: Drugs For Genito-Urinary Disorders
10,10,1752194.62,2013-04-01,small molecule,0704020N0,Tolterodine,tolterodine,93824.0,3322803.0,7.4: Drugs For Genito-Urinary Disorders
11,11,1797322.01,2013-05-01,small molecule,0704020N0,Tolterodine,tolterodine,96688.0,3457541.0,7.4: Drugs For Genito-Urinary Disorders
12,12,1649398.04,2013-06-01,small molecule,0704020N0,Tolterodine,tolterodine,89408.0,3192646.0,7.4: Drugs For Genito-Urinary Disorders
13,13,1757584.94,2013-07-01,small molecule,0704020N0,Tolterodine,tolterodine,96125.0,3426415.0,7.4: Drugs For Genito-Urinary Disorders
14,14,1714984.85,2013-08-01,small molecule,0704020N0,Tolterodine,tolterodine,94038.0,3362321.0,7.4: Drugs For Genito-Urinary Disorders
15,15,1637581.56,2013-09-01,small molecule,0704020N0,Tolterodine,tolterodine,90845.0,3255947.0,7.4: Drugs For Genito-Urinary Disorders
16,16,1706356.39,2013-10-01,small molecule,0704020N0,Tolterodine,tolterodine,97151.0,3507573.0,7.4: Drugs For Genito-Urinary Disorders
17,17,1622975.24,2013-11-01,small molecule,0704020N0,Tolterodine,tolterodine,93522.0,3409982.0,7.4: Drugs For Genito-Urinary Disorders
18,18,1661664.56,2013-12-01,small molecule,0704020N0,Tolterodine,tolterodine,97251.0,3543010.0,7.4: Drugs For Genito-Urinary Disorders
19,19,1636524.13,2014-01-01,small molecule,0704020N0,Tolterodine,tolterodine,97273.0,3564699.0,7.4: Drugs For Genito-Urinary Disorders
20,20,1437701.96,2014-02-01,small molecule,0704020N0,Tolterodine,tolterodine,87722.0,3218330.0,7.4: Drugs For Genito-Urinary Disorders
21,21,1542956.96,2014-03-01,small molecule,0704020N0,Tolterodine,tolterodine,94800.0,3515596.0,7.4: Drugs For Genito-Urinary Disorders
22,22,1518973.47,2014-04-01,small molecule,0704020N0,Tolterodine,tolterodine,95371.0,3531418.0,7.4: Drugs For Genito-Urinary Disorders
23,23,1553675.3,2014-05-01,small molecule,0704020N0,Tolterodine,tolterodine,98156.0,3675922.0,7.4: Drugs For Genito-Urinary Disorders
24,24,1454434.68,2014-06-01,small molecule,0704020N0,Tolterodine,tolterodine,94287.0,3530425.0,7.4: Drugs For Genito-Urinary Disorders
25,25,1541166.44,2014-07-01,small molecule,0704020N0,Tolterodine,tolterodine,100766.0,3791732.0,7.4: Drugs For Genito-Urinary Disorders
26,26,1430268.38,2014-08-01,small molecule,0704020N0,Tolterodine,tolterodine,94878.0,3581071.0,7.4: Drugs For Genito-Urinary Disorders
27,27,1461849.53,2014-09-01,small molecule,0704020N0,Tolterodine,tolterodine,98518.0,3737558.0,7.4: Drugs For Genito-Urinary Disorders
28,28,1509405.7,2014-10-01,small molecule,0704020N0,Tolterodine,tolterodine,104023.0,3961343.0,7.4: Drugs For Genito-Urinary Disorders
29,29,1348710.33,2014-11-01,small molecule,0704020N0,Tolterodine,tolterodine,94736.0,3640194.0,7.4: Drugs For Genito-Urinary Disorders
30,30,1501582.17,2014-12-01,small molecule,0704020N0,Tolterodine,tolterodine,106366.0,4105183.0,7.4: Drugs For Genito-Urinary Disorders
31,31,1370343.32,2015-01-01,small molecule,0704020N0,Tolterodine,tolterodine,99155.0,3825176.0,7.4: Drugs For Genito-Urinary Disorders
32,32,1245415.83,2015-02-01,small molecule,0704020N0,Tolterodine,tolterodine,91991.0,3571420.0,7.4: Drugs For Genito-Urinary Disorders
33,33,1366704.17,2015-03-01,small molecule,0704020N0,Tolterodine,tolterodine,102195.0,3974428.0,7.4: Drugs For Genito-Urinary Disorders
34,34,1312625.27,2015-04-01,small molecule,0704020N0,Tolterodine,tolterodine,99396.0,3885233.0,7.4: Drugs For Genito-Urinary Disorders
35,35,1273857.66,2015-05-01,small molecule,0704020N0,Tolterodine,tolterodine,97277.0,3816030.0,7.4: Drugs For Genito-Urinary Disorders
